,Play,Throw Distance,Throw Time
0,1900_01_TeamKJ_TeamB 37,63.04828150489115,1189690.0
1,1900_01_TeamKJ_TeamB 37,227.1625169505964,1190449.0
2,1900_01_TeamKJ_TeamB 74,103.32733710751478,2588512.0
3,1900_02_TeamKJ_TeamB 22,194.74307039011686,654107.0
4,1900_02_TeamKJ_TeamB 22,181.6653186504513,656714.0
5,1900_02_TeamKJ_TeamB 121,191.70641010362695,4179680.0
6,1900_02_TeamKJ_TeamB 121,146.68106682762433,4181660.0
7,1900_02_TeamKJ_TeamB 143,44.30332454387594,5009263.0
8,1900_02_TeamKJ_TeamB 143,81.60710114156734,5009957.0
9,1900_02_TeamKJ_TeamB 195,43.9662777347594,6905671.0
10,1900_02_TeamKJ_TeamB 195,216.7629440525294,6906298.0
11,1900_02_TeamKJ_TeamB 196,143.2482487337978,6953925.0
12,1900_02_TeamKJ_TeamB 196,179.3086140842375,6955608.0
13,1900_02_TeamKJ_TeamB 255,116.37250633070511,9106617.0
14,1900_02_TeamKJ_TeamB 263,46.522740410470234,9531657.0
15,1900_02_TeamKJ_TeamB 263,89.30820011185983,9532152.0
16,1900_04_TeamKK_TeamB 147,83.03238520541248,5315550.0
17,1900_04_TeamKK_TeamB 147,248.61634447938047,5316606.0
18,1900_04_TeamKK_TeamB 242,13.09156355596992,8378721.0
19,1900_04_TeamKK_TeamB 242,163.37129571846458,8381395.0
20,1900_04_TeamKK_TeamB 242,151.82442053530124,8383078.0
21,1900_04_TeamKK_TeamB 243,64.64169178123358,8436348.0
22,1900_04_TeamKK_TeamB 243,296.3398026607968,8437041.0
23,1900_05_TeamKK_TeamB 94,190.16306440074004,3525499.0
24,1900_05_TeamKK_TeamB 103,89.23377903753712,3919745.0
25,1900_05_TeamKK_TeamB 103,144.16948574053387,3920538.0
26,1900_05_TeamKK_TeamB 139,148.07224461336432,5388110.0
27,1900_05_TeamKK_TeamB 139,27.756877542872143,5389826.0
30,1900_07_TeamKL_TeamB 90,238.7050937127442,2672058.0
31,1900_07_TeamKL_TeamB 127,16.1343600657107,4016059.0
34,1900_07_TeamKL_TeamB 152,130.26799973385636,4980402.0
35,1900_07_TeamKL_TeamB 152,318.1287861456426,4981722.0
36,1900_08_TeamKL_TeamB 154,153.56324866073913,5522824.0
