,Play,Throw Distance
0,1900_01_TeamKJ_TeamB74,103.32733710751478
1,1900_02_TeamKJ_TeamB22,194.74307039011686
2,1900_02_TeamKJ_TeamB22,334.8966579833994
3,1900_04_TeamKK_TeamB242,13.09156355596992
4,1900_04_TeamKK_TeamB242,163.37129571846458
5,1900_04_TeamKK_TeamB242,137.20853196929846
6,1900_05_TeamKK_TeamB94,118.00929888241859
7,1900_08_TeamKL_TeamB219,219.2342852067167
8,1900_08_TeamKL_TeamB219,201.7910611814359
9,1900_09_TeamKK_TeamB248,233.32081827612382
10,1900_09_TeamKK_TeamB248,324.8653414451748
11,1901_03_TeamLG_TeamA3215,198.10065480204753
12,1901_03_TeamLG_TeamA3215,158.35238663174607
13,1901_05_TeamLI_TeamA313,126.53258121958153
14,1901_05_TeamLI_TeamA313,217.8581181270278
15,1901_05_TeamLI_TeamA3225,152.19135521395427
16,1901_05_TeamLI_TeamA3225,180.78443135715534
17,1901_05_TeamLI_TeamA3225,383.41269190847083
18,1901_07_TeamLK_TeamB232,173.98790452744123
19,1901_07_TeamLK_TeamB232,209.29636651822221
20,1901_08_TeamLK_TeamB174,142.66610425815935
21,1901_08_TeamLK_TeamB174,253.49950858745268
22,1901_08_TeamLK_TeamB233,145.67397949122554
23,1901_08_TeamLK_TeamB233,132.7436606150742
24,1901_14_TeamLL_TeamB148,193.30210423151115
25,1901_14_TeamLL_TeamB148,146.94182662604953
26,1901_16_TeamLH_TeamA313,24.304706657147708
27,1901_16_TeamLH_TeamA313,96.75347755610649
28,1901_16_TeamLH_TeamA313,116.88188361829219
29,1901_17_TeamLH_TeamA399,193.88746362684205
30,1901_17_TeamLH_TeamA399,334.6947842182785
31,1902_01_TeamMG_TeamA3120,167.11139981284938
32,1902_01_TeamMG_TeamA3120,197.6172028420856
33,1902_02_TeamMG_TeamA3101,189.31736140980308
34,1902_02_TeamMG_TeamA3101,181.58601869664963
35,1902_03_TeamMG_TeamA3155,141.8212715611449
36,1902_03_TeamMG_TeamA3155,263.5114618065218
37,1902_04_TeamML_TeamB91,227.83315970518868
38,1902_04_TeamML_TeamB91,267.0506555223185
39,1902_04_TeamML_TeamB247,130.85329180192602
40,1902_04_TeamML_TeamB247,78.50131674316042
41,1902_04_TeamML_TeamB247,196.00998024184887
42,1902_04_TeamML_TeamB299,213.02107504836226
43,1902_04_TeamML_TeamB299,122.21340591710879
44,1902_05_TeamML_TeamB12,145.8387477070823
45,1902_05_TeamML_TeamB12,273.5271604995014
46,1902_05_TeamML_TeamB14,207.38616779787893
47,1902_05_TeamML_TeamB14,155.36077052592785
48,1902_05_TeamML_TeamB336,270.0713653266669
49,1902_05_TeamML_TeamB336,291.8363277341942
50,1902_07_TeamMJ_TeamB48,193.97846927319023
51,1902_07_TeamMJ_TeamB48,112.51162404987318
52,1902_07_TeamMJ_TeamB137,82.61293162846843
53,1902_07_TeamMJ_TeamB137,130.8139185318214
54,1902_07_TeamMJ_TeamB223,179.27458843363715
55,1902_07_TeamMJ_TeamB223,278.09740976690165
56,1902_08_TeamMJ_TeamB250,127.54974134078044
57,1902_08_TeamMJ_TeamB250,108.92228751766093
58,1902_08_TeamMJ_TeamB386,297.45935663422995
59,1902_08_TeamMJ_TeamB386,278.53389496528064
60,1902_09_TeamMJ_TeamB137,281.7599054798606
61,1902_09_TeamMJ_TeamB137,220.4605333777908
62,1902_09_TeamMJ_TeamB197,208.7181840087969
63,1902_09_TeamMJ_TeamB197,222.67281509322146
64,1902_10_TeamMI_TeamA38,125.36376106981635
65,1902_10_TeamMI_TeamA38,245.22562879642086
66,1902_10_TeamMI_TeamA386,171.76524354947364
67,1902_10_TeamMI_TeamA386,33.649614650542425
68,1902_10_TeamMI_TeamA386,260.1323572305837
69,1902_11_TeamMI_TeamA367,161.3575270862813
70,1902_11_TeamMI_TeamA367,118.10355145921734
71,1902_11_TeamMI_TeamA367,232.2524811081466
72,1902_11_TeamMI_TeamA3211,132.28811895291278
73,1902_11_TeamMI_TeamA3211,175.42892555676218
74,1902_12_TeamMI_TeamA3105,224.83265401638172
75,1902_12_TeamMI_TeamA3105,138.37876611980613
76,1902_13_TeamMK_TeamB127,86.55586211551473
77,1902_13_TeamMK_TeamB127,290.947416620203
78,1902_13_TeamMK_TeamB171,216.89901270999368
79,1902_13_TeamMK_TeamB171,256.10288840442627
80,1902_14_TeamMD_TeamA228,170.2784227794291
81,1902_14_TeamMD_TeamA228,124.0323375837124
82,1902_14_TeamMK_TeamB197,150.08392776353503
83,1902_14_TeamMK_TeamB197,220.97503979092298
84,1902_14_TeamMK_TeamB204,186.8884029350671
85,1902_14_TeamMK_TeamB204,288.9099320113623
86,1902_15_TeamMK_TeamB8,130.1577088725827
87,1902_15_TeamMK_TeamB8,62.56478859566296
88,1902_15_TeamMK_TeamB17,187.98536332909006
89,1902_15_TeamMK_TeamB17,173.05972562976635
90,1902_15_TeamMK_TeamB159,90.96063169421154
91,1902_15_TeamMK_TeamB159,97.12423228654113
92,1902_18_TeamMB_TeamA1126,217.4588355511222
93,1902_18_TeamMB_TeamA1126,346.74555853093494
94,1902_19_TeamME_TeamA258,156.35846318575148
95,1902_19_TeamME_TeamA258,178.32979751482924
96,1902_19_TeamME_TeamA2269,182.9729269478138
97,1902_19_TeamME_TeamA2269,154.7038762324978
98,1902_20_TeamME_TeamA280,173.06058814761954
99,1902_20_TeamME_TeamA280,175.9752551555189
100,1902_20_TeamME_TeamA2163,173.03931123025194
101,1902_20_TeamME_TeamA2163,158.73528417617175
102,1902_20_TeamME_TeamA2290,241.00162038303813
103,1902_20_TeamME_TeamA2290,71.05990904764795
104,1902_20_TeamME_TeamA2290,221.09395285210766
105,1902_21_TeamME_TeamA284,149.29838638679254
106,1902_21_TeamME_TeamA284,248.99788767007644
107,1902_21_TeamME_TeamA2184,220.68347371368796
108,1902_21_TeamME_TeamA2184,242.40870796976333
109,1902_21_TeamME_TeamA2222,193.97480826442387
110,1902_21_TeamME_TeamA2222,225.48271691151854
111,1902_21_TeamME_TeamA2226,221.06199883892302
112,1902_21_TeamME_TeamA2226,222.7225643162587
113,1902_24_TeamMA_TeamA1130,171.75847656698053
114,1902_24_TeamMA_TeamA1130,172.0779147533175
115,1902_26_TeamMC_TeamA1172,131.52959374384156
116,1902_26_TeamMC_TeamA1172,186.63493009008258
117,1902_26_TeamMH_TeamA350,268.5339093534558
118,1902_26_TeamMH_TeamA350,227.47849408790273
119,1902_26_TeamMH_TeamA3139,94.1574804363413
120,1902_26_TeamMH_TeamA3139,174.72578256759934
121,1902_26_TeamMH_TeamA3318,153.25028574828173
122,1902_26_TeamMH_TeamA3318,183.1902168935885
123,1902_27_TeamMH_TeamA3268,112.19678077814889
124,1902_27_TeamMH_TeamA3268,156.12502080464233
125,1902_27_TeamMH_TeamA3268,265.7821013448799
126,1902_27_TeamMH_TeamA3276,253.70194840452052
127,1902_27_TeamMH_TeamA3276,114.00754176948121
128,1902_30_TeamMF_TeamA251,42.18262073650711
129,1902_30_TeamMF_TeamA251,241.21725046708409
130,1902_30_TeamMF_TeamA288,131.80923539797962
131,1902_30_TeamMF_TeamA288,82.32731232501156
