,Play,Throw Distance,Throw Time
0,1900_02_TeamKJ_TeamB 8,242.42523671536347,294648
1,1900_02_TeamKJ_TeamB 8,108.23583233980327,296397
2,1900_02_TeamKJ_TeamB 101,129.79000503216724,3409308
3,1900_02_TeamKJ_TeamB 101,166.93775254618112,3413862
4,1900_02_TeamKJ_TeamB 121,191.70641010362695,4179680
5,1900_02_TeamKJ_TeamB 121,218.2177884258293,4181660
6,1900_02_TeamKJ_TeamB 196,143.2482487337978,6953925
7,1900_02_TeamKJ_TeamB 196,187.47995654069265,6955608
8,1900_05_TeamKK_TeamB 26,202.7973228100657,1028530
9,1900_05_TeamKK_TeamB 26,325.6048244125385,1030378
11,1900_05_TeamKK_TeamB 171,183.35081998322235,6541143
14,1900_06_TeamKL_TeamB 166,156.9621809395499,5641082
15,1900_08_TeamKL_TeamB 161,161.9768897521495,5800067
16,1900_08_TeamKL_TeamB 161,270.05216259756185,5801684
17,1900_08_TeamKL_TeamB 219,219.2342852067167,8195313
18,1900_08_TeamKL_TeamB 219,114.5776869538306,8197392
19,1900_09_TeamKK_TeamB 57,235.19625289668204,1809965
20,1900_09_TeamKK_TeamB 130,180.489787123427,4616587
21,1900_09_TeamKK_TeamB 130,77.05979262689459,4618534
22,1901_01_TeamLG_TeamA3 152,249.82029355512734,5056372
23,1901_01_TeamLG_TeamA3 152,235.39836587863138,5058622
24,1901_02_TeamLG_TeamA3 251,212.6925418601461,9569341
25,1901_02_TeamLG_TeamA3 251,222.45999929697473,9571241
26,1901_02_TeamLG_TeamA3 268,208.4127361271379,10362440
27,1901_02_TeamLG_TeamA3 268,84.99437043016437,10365440
28,1901_02_TeamLG_TeamA3 268,297.84133196091165,10366240
29,1901_04_TeamLI_TeamA3 283,148.39959049303337,9426510
30,1901_04_TeamLI_TeamA3 283,152.55910623735315,9429460
31,1901_04_TeamLI_TeamA3 283,270.29276173166386,9432310
32,1901_04_TeamLI_TeamA3 286,188.60394119511395,9513810
33,1901_04_TeamLI_TeamA3 286,213.57312471060118,9516460
34,1901_05_TeamLI_TeamA3 225,152.19135521395427,7623298
35,1901_05_TeamLI_TeamA3 225,180.78443135715534,7625598
36,1901_05_TeamLI_TeamA3 225,277.9365026934929,7627398
37,1901_06_TeamLI_TeamA3 106,149.20123514401615,3607331
38,1901_06_TeamLI_TeamA3 106,246.84693767158626,3608931
39,1901_07_TeamLK_TeamB 23,157.23803825045007,713103
40,1901_07_TeamLK_TeamB 23,43.96176193398076,714753
41,1901_07_TeamLK_TeamB 101,145.0752064964927,3443801
42,1901_07_TeamLK_TeamB 101,141.83326062955047,3445201
43,1901_09_TeamLK_TeamB 68,146.38460639510564,2643083
44,1901_09_TeamLK_TeamB 68,261.4450343459596,2644583
45,1901_09_TeamLK_TeamB 268,167.56079087677404,9966776
46,1901_09_TeamLK_TeamB 268,162.7735471267061,9968576
47,1901_11_TeamLJ_TeamB 19,166.97140201606382,465996
48,1901_11_TeamLJ_TeamB 19,60.812010204317374,468196
49,1901_12_TeamLJ_TeamB 110,140.46200669860872,3744793
50,1901_12_TeamLJ_TeamB 110,126.11981212628729,3751343
51,1901_12_TeamLJ_TeamB 110,104.6136150007732,3753843
52,1901_12_TeamLJ_TeamB 110,380.8116896036281,3754893
53,1901_12_TeamLJ_TeamB 128,160.93539023775972,4372343
54,1901_12_TeamLJ_TeamB 128,40.56496194168064,4375943
55,1901_12_TeamLJ_TeamB 128,110.29198501223922,4377043
56,1901_12_TeamLJ_TeamB 194,118.16284475252785,6675341
57,1901_12_TeamLJ_TeamB 194,255.56981058368376,6677591
58,1901_13_TeamLL_TeamB 21,192.94092871658933,685475
59,1901_13_TeamLL_TeamB 21,36.14450066012809,687775
60,1901_13_TeamLL_TeamB 145,108.47738023205575,4609621
